#emulator
wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
180.500000 11012.903206 9300.909917 7810.232782 6185.605163 4858.220578 3738.968982 2614.616508 1541.878921 870.590036
181.500000 14500.373118 12227.795522 10410.243416 8248.448305 6535.264558 5051.966386 3563.950833 2142.246313 1216.277587
182.500000 13869.535497 11782.182541 9993.547918 7953.504182 6291.280746 4877.271259 3458.138853 2080.929188 1193.802664
183.500000 19300.651149 16431.654024 14028.931277 11347.493639 9054.480926 7087.978036 5057.418115 3210.736000 1845.419313
184.500000 14279.196617 12069.855250 10320.298084 8306.208565 6535.825673 5128.756868 3706.742610 2241.376762 1324.653386
185.500000 20603.342795 17524.916131 15015.463152 12087.427573 9602.075772 7511.164122 5433.678290 3363.685910 1956.503846
186.500000 20795.997747 17855.512395 15208.591801 12072.614424 9664.007521 7547.154753 5450.158342 3343.939188 1994.943646
187.500000 15862.961168 13398.039867 11304.652490 9016.758768 7117.945345 5480.195421 3977.515716 2358.313594 1433.074574
188.500000 29062.367430 24903.006527 21213.301230 17048.525396 13678.780661 10705.458536 7787.909255 4847.338061 2885.324558
189.500000 56050.380201 48115.832296 41395.542855 33617.333397 27115.548239 21336.774544 15438.783967 9884.957977 5767.485642
190.500000 55061.296041 46960.793102 40087.583142 32271.012246 25631.194099 20083.367951 14371.860729 8844.030584 5073.388744
191.500000 63512.568547 54216.995597 45809.373225 36670.033973 29060.703794 22447.915608 15861.934810 9344.956979 5354.964629
192.500000 41100.824099 34690.507648 28117.229322 22011.697830 16836.793606 12286.598422 8372.364866 4089.229093 2237.606535
193.500000 1792.650390 1272.710867 1059.863465 1020.936009 402.590499 423.384848 275.968128 96.589569 46.906544
194.500000 56191.321680 47635.696905 38931.209073 30171.176093 23198.924731 16946.871639 11534.261072 5679.237354 3073.164530
195.500000 129598.861656 110872.736627 94408.509433 75681.868175 60267.457679 47063.629361 33488.458824 20088.440031 11436.170684
196.500000 174159.367218 149808.295891 127872.699270 103420.889414 83302.765906 65438.792046 46865.627736 29364.302639 16832.181555
197.500000 236616.521088 203844.905147 175159.876571 143337.688263 116745.348673 92666.417631 67339.592833 44040.599231 25921.288100
198.500000 248679.805717 214390.723724 184623.458479 150171.636930 122443.078253 96868.569417 70194.661137 45736.817246 26792.652492
199.500000 261831.897668 225298.508854 194521.068730 157960.836277 127652.167353 101579.671957 73651.491684 48203.523787 28252.434786
200.500000 305013.406999 262785.417519 226172.278388 184398.834849 150002.530694 118949.440975 86404.913493 56615.849571 33536.084642
201.500000 393865.176998 339511.313148 292214.961209 238891.831524 194844.701247 154243.466550 111994.760961 72986.537740 43338.725761
202.500000 279598.434553 240398.587197 203677.754377 166478.057478 132508.277655 105050.815880 76302.023547 47692.119360 28283.733328
203.500000 469415.662689 406489.213707 350036.772370 287021.098959 234326.224186 186580.084678 135861.461471 89927.154490 53501.211675
204.500000 616170.049880 533559.968571 460158.226361 378862.482819 310264.550143 247898.811757 181045.962081 120266.959511 71729.455334
205.500000 722333.968462 624756.633503 539179.068952 444644.507157 363808.069797 291482.603162 213131.062632 142683.250478 85546.794859
206.500000 795291.326265 688116.534721 595666.092242 491270.618286 402445.003688 321964.587065 235573.277815 158245.521764 95206.489688
207.500000 402006.110659 345575.452419 288176.261232 233349.451066 185146.483195 141388.496493 103886.868898 61062.129307 35631.997226
208.500000 3509262.444149 3225613.474722 2892043.476081 2542507.835615 2196107.593698 1890825.520660 1562053.744082 1234139.837532 832489.371260
209.500000 13196103.138197 11151664.307965 9312331.388631 7743296.441053 6271520.830458 5125011.314592 3972575.968732 3017621.379054 2022457.649192
210.500000 37901897.853933 28147619.462556 21191688.030058 16098846.241048 12077725.457468 9094529.218495 6593771.092643 4670098.920352 2970343.504424
211.500000 313070130.104001 180655205.497770 107454439.948291 66161618.613061 41737070.307861 27195857.291405 17525095.397305 11080570.641402 6562764.178885
212.500000 87217747.518096 59648659.978741 41597807.514714 29429829.670873 20741200.533117 14712751.774256 10128133.820144 6692086.624077 4096367.963118
213.500000 324074455.334265 194183186.328506 119517217.504612 75747759.945461 48895586.048739 32312110.235840 21091544.853963 13412354.793200 8050952.254483
214.500000 561150868.161733 320422465.520710 188189334.938873 114571202.517480 71243162.448970 45704160.162054 28908859.996647 17853431.136531 10454032.511079
215.500000 299851108.453611 184168312.171614 116450084.003344 75794715.357787 50008197.970459 33591412.015559 22225853.018872 14298109.751864 8628196.378833
216.500000 178433351.339002 120001133.890168 82695271.372953 58370219.530433 41250537.719531 29513427.041131 20527759.151149 13893458.973099 8684231.720853
217.500000 144711108.334716 101727044.370171 72646535.203868 52851609.728742 38290248.737937 28144407.829482 20045773.392795 13959890.336923 8903232.022002
218.500000 930507490.469476 540844016.438327 321576349.326741 197529076.824346 122835764.706537 78498500.766708 49141629.694544 29721675.586462 17247224.718228
219.500000 509389455.304522 323994041.379329 212344975.225397 142875596.539736 97095276.865517 67005972.069655 45193110.918089 29761649.996032 18266620.601905
220.500000 651230576.000385 401836355.507730 254420905.507504 165718319.100636 109999808.287643 74735193.291847 50069010.968099 32984205.153926 20303731.035537
221.500000 359562946.400365 245601414.158123 170532269.133500 120144446.258107 84266515.553630 59500109.258100 41023611.715763 27305370.435396 16931702.703202
222.500000 2387135890.045801 1397488184.466007 823773772.970369 492289529.045351 295378266.843427 181838912.849914 109976939.772365 64310312.447377 36685042.996288
