#emulator
wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
180.500000 28801.821329 19067.014461 14482.302639 11026.872402 8098.445332 5674.426131 3476.770293 1933.580654 602.373436
181.500000 39697.842582 26084.129412 19839.274264 15068.876691 11181.915845 7893.280531 4895.026315 2741.841097 870.494436
182.500000 35504.008558 23960.514272 18370.320372 14031.592989 10451.881431 7393.104368 4561.103709 2572.577065 817.324121
183.500000 51111.399792 34269.587809 26256.401399 20378.698038 15331.426088 11060.571737 6961.918284 3989.816701 1302.481774
184.500000 31275.633192 22315.709637 17464.895721 13532.620280 10129.057844 7323.562269 4533.081014 2624.439638 851.325480
185.500000 51064.758469 34845.754882 26981.934271 20955.941003 15787.187902 11360.989889 7114.419141 4096.632134 1333.380495
186.500000 54407.938962 36283.468945 27989.690780 21447.496625 15964.299065 11287.713969 6949.935462 3867.417995 1211.981919
187.500000 38219.803546 26113.418603 19912.888879 14973.077991 11037.246335 7593.939090 4590.916779 2463.233784 739.756252
188.500000 73437.978665 49884.200416 38726.987666 29886.682299 22467.444042 16028.586761 10011.011343 5635.137191 1795.003670
189.500000 145804.117905 99813.720235 77240.936342 60723.261323 45932.775899 33612.096291 21549.945380 12577.920822 4241.792823
190.500000 133336.465997 93271.865386 73084.127936 56792.093915 42761.986296 30809.980836 19412.823777 11350.525601 3753.031074
191.500000 146704.709369 104625.668179 81930.645430 63792.913873 47449.005997 33683.356587 21038.268394 12097.713571 3949.585487
192.500000 81325.639615 58141.552633 44705.169621 33605.849585 23674.347511 15959.333292 9312.847324 5148.403471 1545.027056
193.500000 556.756906 350.118338 242.967301 174.822583 115.064040 80.337795 45.303487 29.787650 15.860629
194.500000 114120.637029 81521.103393 62986.896187 47431.192830 33517.711899 22771.136415 13403.856574 7419.512093 2236.771957
195.500000 301889.067859 217705.070519 171638.442073 133656.728212 100516.868179 71972.652040 45790.299721 26484.866021 8834.104727
196.500000 425505.688809 301842.229873 237649.277160 186761.478421 141243.545051 103094.676321 66417.665939 39050.929954 13262.078852
197.500000 591365.250738 420136.272650 330747.320075 262780.213982 201236.531256 149363.433987 97942.790036 58112.687335 20304.694330
198.500000 597247.103839 430592.476843 341400.284039 270225.499946 206944.986591 153650.200531 100043.662211 59377.159449 20929.547224
199.500000 642974.735112 455264.764858 358786.154407 285191.298984 218014.388325 161385.158440 105671.271260 63180.215511 22286.716408
200.500000 728815.767022 522435.879479 414412.895307 328391.073872 252771.492885 187618.841738 122759.301244 73730.158681 26068.752176
201.500000 944683.012064 679367.125559 536251.986099 426459.798089 327483.072732 243968.293314 160636.188854 95935.019303 34084.127549
202.500000 582065.704688 431914.297074 345658.537770 273627.391176 208894.853365 153841.365139 99779.867522 59668.003382 21097.448231
203.500000 1103851.504569 798009.136054 635284.076884 508446.254484 391552.844047 292392.835622 193137.112491 117095.866244 41720.726996
204.500000 1464063.178686 1059997.851605 845116.697571 677861.480370 522838.669535 392566.196353 261784.384609 158426.615462 56619.715609
205.500000 1708384.433275 1245688.430097 994389.769669 796916.223974 618811.863203 466379.524476 310264.031422 188126.049439 68001.782094
206.500000 1839354.357853 1352892.099357 1086742.297305 870956.499282 677005.911276 511309.547675 339545.335052 206521.099281 75277.179724
207.500000 750872.988753 552373.669056 442367.699687 349107.396697 260596.770503 190434.745795 124462.659663 77959.545038 30920.954874
208.500000 6460479.422900 5369764.158521 4629852.532560 3953600.782998 3320296.599699 2710880.322001 2084018.881659 1561517.124956 913008.239239
209.500000 26650945.632441 20818505.724379 16726738.197391 13464680.069562 10647064.051177 8158184.653218 5932750.174298 4152060.350416 2348079.109061
210.500000 73582635.569857 51894337.697630 38005755.338970 28174114.225144 20664952.014620 14834687.004174 10188421.779448 6695782.181805 3634208.686079
211.500000 500473384.349831 298055283.676392 183717074.445148 114269291.114054 72323762.188810 45501079.681556 28066606.890040 16707491.070142 8591501.667950
212.500000 149504362.081940 101164515.060166 70606563.754368 49549246.332004 34623344.232687 23751096.422832 15555076.506492 9738629.059740 5039030.957739
213.500000 511419821.234764 315127769.123982 199976443.073319 127690041.531613 82555929.273271 52876145.047015 33047160.683401 20037154.020775 10363667.834096
214.500000 870182136.741553 515094573.970465 314645160.645114 193960999.339111 121274613.352753 75466608.947622 45963138.985457 27019949.170016 13772634.647664
215.500000 468032429.044783 293281060.737218 190249147.003760 124684430.749534 82554027.903630 53882800.017989 34278584.494361 20951697.182635 10996894.629952
216.500000 301295821.334813 201570999.727130 140181789.062148 98098391.017097 68896948.744353 47494959.758985 31600938.124754 20157493.382306 10804585.141095
217.500000 246576741.220800 171194556.119613 122845117.820276 88604201.351427 63787618.212948 45058486.937022 30655230.787904 20058379.891919 11031659.401105
218.500000 1372635059.618952 826546171.629067 510453563.859620 318266504.183607 200423674.566613 124989579.837234 76236812.860906 44475501.379888 22683775.066476
219.500000 840582570.810463 538534693.482524 357397788.874128 239594867.259633 162318714.200856 108217414.282014 70161250.724998 43620924.220283 23353347.457342
220.500000 1051533176.671932 661909327.787941 430326178.753595 281672523.352088 186459984.679552 122325605.488698 78509849.891729 48654814.604023 26047574.928726
221.500000 588605745.613749 400388107.350391 279978486.443225 195894858.105686 137011317.371878 93839287.370842 62057032.371031 39248477.764959 20945152.216929
222.500000 3333239732.588552 2031538760.062303 1249798131.544132 762767398.201939 469326784.845798 284612087.512828 168598245.013092 95875201.470390 48553615.493306
223.500000 3945365330.567436 2381839788.771560 1459711350.977949 895903255.571581 553603242.042908 338180791.676338 202289158.894552 115768641.052890 59515331.843272
224.500000 3158429553.288260 1994288218.393414 1281882460.407728 823523528.066741 531869562.026572 337541002.628135 208258714.052190 122768094.163839 64404288.739395
225.500000 1254701943.164497 865656676.657096 609954621.617587 428301653.790086 300561630.237544 206634564.575065 137195883.003006 87510352.269103 48097672.868270
226.500000 749068931.875163 541678423.376339 400574356.796793 297136661.624852 217641216.886087 156147402.457369 107678300.351618 71468441.517375 39726097.115036
227.500000 466020510.643317 352462314.247180 271992731.727845 210181775.723136 160519911.739425 119731793.263801 85645949.086213 59031104.534079 34006378.125171
228.500000 2137613762.232600 1400793781.536256 942060323.647314 638223457.414061 436048865.873159 292531814.199097 191500170.127109 120151120.122188 65402107.868419
229.500000 882948043.586388 645414934.694660 483559041.933224 360286249.580583 267123249.172324 193622531.224146 134789552.429610 90148102.819860 51059092.242349
230.500000 3321231154.636805 2170273437.767000 1450734407.934630 973360724.423304 656654030.793752 435878753.205917 281602167.593978 174411659.545114 94583341.048506
231.500000 1585164403.608447 1128561821.764776 818842344.273986 589781536.897546 424274886.954585 298394833.875309 201640777.363386 130593250.710959 72361389.202226
232.500000 2185440450.273001 1549675206.721769 1118205068.640895 801388226.015403 571751541.407595 397819203.520668 266807665.318249 170848074.810112 94923076.669110
233.500000 4323114612.510570 3074309585.270681 2197441887.131436 1548047062.072653 1079681085.271794 731760566.194753 477229337.439059 296908147.481735 163166302.554119
234.500000 2471980262.204996 1835935684.779763 1372010432.365231 1007204162.855160 732669169.835464 518933711.889206 352162396.201978 230614840.000529 131234095.697413
235.500000 5748150856.304504 3930421539.240312 2716060477.193177 1865444038.069978 1277915409.606876 856341404.220434 554945753.190040 344185945.465670 189241196.837578
236.500000 2800687863.374633 2065692486.756641 1535313247.102094 1123593633.907202 814812934.377496 576280239.712430 391209399.572479 255691790.651588 144168610.185291
237.500000 3036473762.268571 2200065298.810350 1617616968.967285 1180231783.166693 858052658.008949 608650222.753581 416650739.834866 274350555.463157 156548214.791563
238.500000 2510188216.864607 1946291327.133365 1516993900.126554 1161029889.739839 877017561.001620 646960594.062245 455666171.371238 311458309.586197 184182401.835494
239.500000 3563466882.320644 2671795867.250086 2020681653.965791 1502383703.751089 1106589332.546543 795670557.929198 549070178.241701 365244783.861295 210412379.578781
240.500000 5763241592.901116 4297977163.963495 3211972125.282191 2357079667.289810 1707810396.174644 1203012763.466050 813309904.874906 527717091.489064 301188305.012292
241.500000 3903646081.341089 2960437372.617909 2259438895.788568 1701795277.496677 1267832164.222062 923140371.576920 643656247.130232 433837139.243486 254087601.840113
242.500000 6993659545.189384 4930663187.885016 3524178173.957262 2498527680.703949 1763763280.989413 1221335582.954482 815352434.670433 520527862.264369 292674365.013579
243.500000 5470800517.802639 4020859687.302381 2987075064.606387 2200332034.515740 1606904684.992299 1147133821.165954 789248577.721450 519133138.809369 299450205.664140
244.500000 9801406994.029520 6955548325.829111 4999301763.051171 3566618373.181002 2537830100.765612 1763777820.370602 1185108308.351629 761088709.692672 435079843.000699
245.500000 9243576878.561329 6597196194.819423 4771634445.858676 3435285396.026398 2469291539.869421 1732470611.727205 1176248317.573313 762715214.496059 439120812.734580
246.500000 4471630288.474902 3396272577.288254 2619621264.096401 1995891622.354899 1508488870.084784 1114493315.292808 789211182.539597 536320932.623749 315135215.509284
247.500000 2821373178.125313 2184413153.758431 1715457684.880484 1333915365.849411 1025828100.149648 771349849.875395 553816535.774221 382414139.753331 224552249.821388
248.500000 319413779.882534 266989706.480607 227509229.943751 192373662.944052 154668471.354162 123009281.878529 90623289.738373 64480127.336494 34010268.815323
249.500000 2778675384.462971 2166757755.560788 1710584480.769329 1335128400.309717 1027429253.390487 772725034.981476 555249835.031836 383890815.394501 225353488.850896
250.500000 5796773478.703819 4440953155.320437 3447321199.844642 2641145858.726145 2001854008.671391 1485155792.284626 1054388542.311670 718438699.429585 422835094.762506
251.500000 628237248.098126 546307102.271657 481180178.555667 421294436.909110 357240091.550223 301803481.046965 239390999.349979 187068592.907366 117860918.332229
252.500000 406812633.854915 359192772.237808 321959123.745560 286656646.792833 246619529.013800 209941571.838104 166740187.635297 130589385.461707 79337396.065091
253.500000 2163393775.544611 1904508376.781796 1689083572.045298 1478239609.677396 1275641482.042018 1076450516.839499 866835566.889498 690868226.407478 458029790.381868
254.500000 2451852077.080353 2104103102.395292 1821368158.438425 1558882853.993881 1308159326.941151 1072454031.599969 839703582.585328 641762376.658211 404428141.628587
255.500000 25380615606.952759 19589137707.646885 15052639370.877293 11438848579.690331 8532980767.794450 6201797131.762247 4335168109.736030 2896490629.698802 1688592491.766470
256.500000 25115365099.496456 19725180040.142693 15400703571.615351 11956420779.380268 9078958680.537144 6734078471.369850 4811140913.966285 3283579272.075660 1966488197.166229
257.500000 97958824803.507477 71216603829.821335 51034090065.059929 35570778504.635597 24153964769.153252 15867907340.897432 9895512760.641157 5852538972.087314 3080854424.845050
258.500000 293227408316.490112 214295149469.190033 152886618638.232635 105418202063.498825 69637394619.095108 44006839162.133034 25803226490.458580 13755974110.572813 6543370682.884201
259.500000 96499912933.345428 74367254485.962280 56504065179.620865 41950921715.046600 30238021653.806473 21059200466.860664 13874072817.532518 8517487101.178948 4642786866.249396
260.500000 168836350384.981659 126800126794.908035 93925099774.126389 67732471001.074577 47311817357.870468 31916816637.119705 20283481640.785316 11960609586.909794 6237462734.463669
261.500000 70880942120.805786 54774256386.309067 41928063661.545464 31447163170.726303 22972479085.311165 16307223075.176613 11031691743.156721 6988165156.221946 3930847766.438404
262.500000 146344075472.412506 110915493410.129684 83103705176.427780 60676587008.529167 43043266961.927383 29575307479.532963 19176347773.849033 11518885721.194876 6147205375.869657
263.500000 874270739483.312500 626086484195.254883 435324095680.991882 290220097201.159790 184261452619.892517 110744219301.645416 60933254213.466156 29799843584.855492 12947488812.965450
264.500000 559551973875.452026 392132918340.318787 267338787562.488892 175035953859.010803 109992322443.481796 65843725888.838394 36724470531.346870 18756741400.117016 8723274746.961866
265.500000 2467554120105.741211 1743551430084.340332 1193651089428.724854 773680155881.125977 473547435322.970520 268178212158.724487 136749621291.555771 58380663099.393944 22120860281.742790
266.500000 448037775321.005798 324011317651.508606 229187101473.118408 156891094085.695831 103517953698.361237 65560067149.262054 38971790134.834297 21343812680.190247 10466784306.699512
267.500000 840674569677.721558 603293881949.638916 421808890659.912231 283246260244.767578 182609960175.285400 112210746614.537292 64112202252.741737 33156328324.012005 15449906984.753334
268.500000 1699706242788.406494 1208800974186.786621 833537224920.519165 547528334929.176086 342155408508.281860 200684469960.116211 107295064835.663513 50083950057.603691 20787803964.531681
269.500000 554138629764.920166 396790169839.143677 277953059372.477478 187542089354.207611 122076677457.637772 75946496719.085327 44345484829.623222 23807509542.685036 11587050936.184202
270.500000 800762944575.311035 575645833566.834473 403406564134.292175 271820230641.943817 175824884058.284698 108261698036.192230 62092937528.057602 32377558634.340240 15179277130.909309
271.500000 156319118605.009674 113045672148.948746 80733969605.019791 56318365332.061768 38479326877.986313 25545980838.534771 16316870414.774481 10010467379.831095 5515357067.575726
272.500000 101664627470.598267 76717795326.622208 57556714028.995018 42309881597.181641 30466878249.238022 21368897365.763588 14407093169.502306 9297966801.486351 5370784445.506485
273.500000 84516690332.232315 65208954675.765190 50171065002.573708 38146446580.923401 28516417342.687160 20831521501.063030 14663365945.567476 9925962811.450348 5943514462.852935
274.500000 81864097684.917465 65166795198.489708 51559295894.272507 40328698738.085678 30908758504.319801 23074535570.968391 16661429045.478590 11471633644.585142 6955669226.991804
275.500000 218711505677.321655 163299657067.559753 120555524294.966141 87096456894.768341 61588852697.361923 42302202536.617569 27895138535.055378 17493011890.611641 9822402481.512304
276.500000 494740600209.093079 367367245867.215271 268432594033.561218 190791728993.153870 132054819856.650803 88310807552.293259 55993993196.856415 33257123682.393517 17773023447.290154
277.500000 256726944552.550385 197394390385.369598 150734987588.127655 113117590481.345703 83267728654.928146 59665617897.170212 41073413009.757210 26906777802.545029 15725199025.963949
278.500000 130431267933.130554 107586426873.490265 88503932331.084290 71846311783.856583 57156001537.781410 44141853237.139397 33076858598.076752 23514230388.525917 14922314254.987823
279.500000 37185173115.411339 32368133113.532536 28184119312.309681 24148594656.701027 20471647448.509457 16937986078.848875 13484471217.307207 10571414367.710340 7235052761.345862
280.500000 80203273445.776764 67608694647.822464 56871699604.680496 47143062240.295715 38407862105.010132 30522120323.636814 23384421497.803974 17283745801.933693 11347539296.222919
281.500000 552096258495.801758 424493241627.146301 322534596577.377869 239236849067.530945 172602904403.218201 120456567878.120728 79852625978.801086 48865983169.030518 26768477151.379288
282.500000 60674731955.899155 49680960762.290359 41351998984.483795 34235501624.648563 28132016437.818893 22660283076.677757 17666093799.976017 13341621162.384455 8628759992.311230
283.500000 27607578716.913532 23949741757.826927 21031044354.840450 18273658323.102333 15766370023.888691 13281446279.002399 10770175237.190748 8430047819.950158 5631597312.393005
284.500000 8935427763.760038 7924022309.202315 7091209415.864577 6327576994.592683 5496492202.935131 4696813595.259510 3790048277.394960 2979188787.567430 1849862850.809940
285.500000 2918871689.155699 2539846722.097061 2257288832.088585 1961331511.132632 1676781705.817702 1398225135.925238 1087718882.782139 822517483.044157 473943062.905436
