#emulator
wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
180.500000 6845.183816 5500.722061 4536.443154 3659.465383 2897.544957 2136.165757 1481.867484 837.449745 388.613254
181.500000 9061.924990 7252.533586 6044.813543 4892.345204 3894.200025 2893.967448 2031.346257 1165.616078 543.435637
182.500000 8602.634317 6962.599074 5787.852298 4708.118748 3759.883544 2791.679813 1963.913716 1128.700022 530.793887
183.500000 12159.882978 9814.805533 8214.284480 6742.460295 5417.341141 4078.353092 2909.189461 1742.837684 832.699111
184.500000 8824.996533 7192.613450 6009.819002 4936.403230 3948.613774 2949.508572 2103.996246 1223.397396 597.577426
185.500000 12963.773117 10509.611957 8818.765767 7237.362070 5809.177702 4358.230352 3125.611407 1844.130849 890.332440
186.500000 12878.667272 10459.752989 8699.780010 7094.701028 5718.216658 4254.864060 3012.926775 1748.112283 827.353659
187.500000 9361.637543 7613.892902 6244.642595 5118.244728 4075.499127 2973.278165 2079.513692 1162.069904 548.554492
188.500000 18196.604096 14832.582636 12342.351537 10156.098279 8196.940124 6118.373698 4371.229084 2569.918548 1228.650227
189.500000 36311.331807 29576.608556 24978.539976 20569.930863 16685.381384 12648.859825 9143.987786 5559.397268 2713.702208
190.500000 35680.669360 29137.417205 24483.288708 20097.438598 16174.925095 12183.413635 8696.818790 5130.539145 2488.959639
191.500000 41146.176222 33926.585623 28355.177780 23115.934262 18599.764046 13820.037366 9701.517742 5551.292939 2675.771558
192.500000 26336.951026 21878.142005 17726.649098 14073.368347 11085.933350 7788.659766 5252.085279 2682.203695 1278.172959
193.500000 865.402468 616.744642 520.648740 406.977556 325.121290 235.019253 197.459074 83.575007 57.403659
194.500000 36585.161926 30462.811166 24823.881486 19688.591862 15590.888917 11004.785921 7434.361608 3827.689376 1823.636876
195.500000 85364.070612 70553.235717 59278.247059 48560.922516 39217.335414 29422.255903 20798.448766 12121.913508 5856.601917
196.500000 116096.146438 95609.328971 80543.551204 66300.079612 53886.062323 40776.125143 29161.530600 17569.454982 8574.534637
197.500000 158600.230447 130064.691482 109850.465360 91232.792141 74440.989391 56983.380707 41359.409011 25751.439537 12772.010704
198.500000 166645.100399 137311.885212 115931.606953 96036.028507 78567.961494 59877.374988 43319.842349 26879.314613 13333.200626
199.500000 176461.356957 144767.841875 122681.386009 101425.889667 82649.086794 63316.823195 45986.235412 28653.729025 14323.717324
200.500000 206144.290228 169813.985230 143741.737819 118957.869939 97270.831455 74312.915976 53957.103828 33661.217495 16902.217869
201.500000 267603.097696 220651.512471 186927.347730 154758.210339 126659.023890 96702.641778 70164.739187 43653.461232 21922.175393
202.500000 189383.589755 157479.774755 132003.628334 109303.323100 88502.326362 67092.201479 48458.499245 29373.357031 14995.611028
203.500000 319594.224877 264960.559579 225012.572270 187020.441572 153489.332145 117864.663391 85895.778616 54216.102763 27479.594399
204.500000 421611.573090 349280.505313 296793.171892 247284.645285 203379.643203 156783.242996 114597.308819 72582.736952 36863.301398
205.500000 494643.226002 409948.942523 348311.271587 291181.104384 238932.948004 184736.021054 135037.826407 85932.931322 43773.958452
206.500000 545335.796643 453171.427672 385530.845476 322217.928320 264854.666861 204553.524119 149619.573951 95374.448288 48799.363728
207.500000 279230.755287 237838.488930 198577.407349 163808.830950 133908.322246 99239.446180 72656.581876 44312.227692 23932.637372
208.500000 2684439.156546 2403638.170068 2142781.707807 1901190.037317 1666597.834544 1416306.736723 1177356.533118 936500.553323 632658.977470
