#emulator
wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
180.500000 7395.932362 6139.490175 4994.908092 3938.605674 3037.590359 2184.845902 1440.701830 802.257800 337.907948
181.500000 9903.078826 8206.059256 6749.191490 5333.466362 4133.299350 2995.886540 1997.023740 1126.022880 478.363616
182.500000 9240.274642 7722.066190 6331.938996 5038.530034 3917.533409 2839.914807 1897.512223 1076.656625 459.492184
183.500000 13280.000559 11117.227754 9197.337597 7378.479146 5778.872483 4243.311052 2877.289689 1703.440854 742.072401
184.500000 9230.655238 7763.039987 6406.481504 5160.809613 4026.753548 2944.911899 2008.003834 1167.129131 515.072830
185.500000 13888.327211 11643.600985 9645.476209 7747.574178 6056.906469 4439.629956 3027.803802 1772.129088 776.463837
186.500000 13643.504900 11481.402541 9385.893679 7502.714665 5868.964414 4265.904493 2868.230928 1643.056673 700.377316
187.500000 9506.437589 7995.025970 6438.505528 5182.403738 4002.909347 2860.259715 1906.646699 1052.874273 441.541830
188.500000 19270.890221 16261.943447 13313.405234 10737.755799 8415.573107 6140.391440 4169.886311 2424.979913 1047.145583
189.500000 39886.247405 33569.670584 27990.597617 22541.154426 17817.758587 13185.027801 9053.069927 5428.921548 2423.379159
190.500000 38713.477615 32438.014109 26873.955324 21594.966948 16940.406257 12451.000107 8465.740252 4924.135936 2170.780656
191.500000 44065.910581 37019.221341 30466.158573 24332.697149 19071.272813 13814.666159 9237.444625 5184.216946 2260.062051
192.500000 25393.372504 21289.232594 16901.876786 13181.695430 10083.761816 6875.314186 4402.441225 2171.212054 917.048832
193.500000 297.714029 246.106472 219.103834 162.436184 122.052240 84.371442 74.401695 34.319795 19.694005
194.500000 35725.136589 29974.751087 23932.725628 18630.205838 14306.214020 9801.023301 6281.128189 3110.009052 1321.821932
195.500000 92344.879055 77773.051261 64330.155916 51626.653382 40584.011049 29700.843203 19987.833022 11361.700885 4993.951322
196.500000 127543.190404 107556.860040 89343.913810 71971.240957 57005.836597 42080.975807 28666.704603 16870.645713 7519.146440
197.500000 176095.625168 148799.120079 124043.707463 100734.923058 80150.645741 59900.296425 41401.846263 25268.178334 11518.585033
198.500000 183648.570633 155516.815130 129580.472881 105063.227124 83812.567293 62394.830669 43018.116726 26199.165963 11932.127365
199.500000 193873.429733 163590.486584 136851.444920 110705.061851 87950.271770 65818.755592 45507.253289 27900.357773 12797.224816
200.500000 225966.978237 191291.251305 159769.850584 129485.282211 103269.558942 77094.068871 53353.241795 32850.440386 15132.187277
201.500000 294732.248139 249330.458067 208419.256060 169011.038157 134977.954098 100675.701664 69732.880704 42799.911356 19729.871228
202.500000 200729.263193 170482.365204 140755.010860 114597.772631 90439.071864 67105.062956 46337.312160 27885.285837 12985.216683
203.500000 350521.546010 297986.648237 249623.717556 203384.785262 162794.245407 122165.953079 84943.166388 52848.467211 24605.215167
204.500000 465859.158621 395739.645693 331837.826876 270961.066986 217488.136735 163749.096981 114313.518788 71216.610252 33246.842782
205.500000 547139.287454 465244.383066 390114.591640 319360.386589 255656.574467 193087.761475 134738.272809 84392.486873 39597.907016
206.500000 601218.507687 512004.631208 429876.260943 351931.442739 282288.408224 212989.348451 148830.370240 93622.012091 44156.713440
207.500000 267096.355864 228871.080329 188667.001733 153325.912340 122595.451320 89216.794929 62736.624330 37810.229783 18985.713826
208.500000 2988731.104389 2706379.739014 2425671.536559 2141394.477773 1871484.732934 1587374.126631 1309216.392741 1034397.828285 689589.306496
209.500000 12077677.839353 10043798.447118 8360896.421249 6901684.601443 5598201.996570 4494603.660602 3452561.346527 2593357.399974 1701483.577245
210.500000 35910293.584544 26422353.360543 19794816.651080 14887846.900278 11127390.105168 8209890.150520 5870433.233418 4091011.270266 2536806.526206
211.500000 309019991.124425 177711567.314134 105015493.857015 63881523.156868 40000960.055317 25514374.102646 16150771.509722 9980645.836423 5731207.192064
212.500000 84121224.762502 57079794.654644 39522845.202319 27616716.040807 19337055.158150 13400514.118937 9062305.484087 5873156.184143 3472135.281544
213.500000 319464447.604894 190623769.900430 116528587.550190 72939597.895539 46699190.182273 30201650.594960 19339409.639673 12026709.551764 6979759.984715
214.500000 555523549.738550 316664537.930467 185006928.039230 111367776.951491 68784899.157630 43231156.460011 26879450.447374 16227997.120247 9198716.973487
215.500000 294567926.569094 180199793.453876 113250717.327806 72853682.462252 47742509.014091 31405092.984149 20426062.925631 12864642.515331 7531546.018260
216.500000 173162212.040572 115610672.492988 79195054.494355 55254453.419379 38822190.831087 27217862.910402 18641232.500782 12397790.437253 7532581.528588
217.500000 139982872.971037 97425616.748481 69102568.719969 49679888.101152 35794773.882162 25786475.678354 18094188.587318 12408189.969763 7701866.761058
218.500000 922746893.998407 535870447.072848 317256732.236635 192838486.258084 119196572.072626 74646109.810989 45971839.740834 27218734.699617 15281727.256053
219.500000 499001206.956549 316131974.985495 206107680.248163 137146294.129834 92626381.557345 62656975.017573 41625552.097858 26866941.617807 16045340.761584
220.500000 642377450.428842 394274318.836810 247936832.983423 159601525.275770 105183195.273001 70058209.422321 46195485.744821 29817482.234933 17837474.866810
221.500000 350205391.713189 237630371.114971 163936887.410437 114190748.080928 79556079.439195 55019216.956050 37293751.114863 24364672.721237 14645742.079892
222.500000 2388531190.303792 1397641683.945824 819959780.040914 485029011.223412 289111938.771303 174472140.996126 103778409.057430 59367334.206649 32712934.095205
223.500000 2917046799.847814 1690768056.185882 986434413.414453 584107003.007614 350184489.447641 212814104.033984 127305472.010321 72903870.312683 40295599.646624
224.500000 2269425354.317092 1388577496.037928 858973529.279384 537624414.673436 338030034.952902 212957573.474549 131417069.184365 77513953.810343 43867021.495975
225.500000 806694698.021151 550679176.128841 380516077.487959 264090569.773970 183118099.536568 125839243.851506 84717792.851573 55221124.429137 33641451.574893
226.500000 420292714.543401 309744289.476713 229799474.567340 170627427.219047 125766996.129546 91611394.598271 64744095.959492 44725087.427758 28114628.381332
227.500000 260699628.502580 201392485.381345 156952297.615637 121897878.953665 93739551.097180 71220158.753887 52421706.290737 37794552.178750 24516966.891513
228.500000 1372631536.672252 883286898.003469 580977688.257450 388273572.870309 262547023.567809 177539782.452355 118135850.590757 76021542.191309 45897928.574064
229.500000 519060760.484123 383800042.695820 286583959.877106 214010560.937195 158816163.398967 116461633.276778 83065913.796069 57655217.890454 36568484.996099
230.500000 2197421595.293448 1407026557.002042 917228148.546954 605312917.144232 402875115.952569 268086917.891074 175355637.816142 110776985.289778 66143918.673696
231.500000 1007760197.115738 713393129.446892 509693550.813182 364713639.393969 260012002.101302 183475642.507515 126833322.099569 84163568.439714 51954607.379713
232.500000 1420312132.832787 1000644453.243499 710112907.057060 504214269.184537 355346008.880029 247374622.843427 168337804.973164 110003459.504499 67138837.451640
233.500000 3094830469.043599 2170969509.120565 1514680826.116221 1046206386.815444 711637844.437204 476140079.136451 309474187.237351 191811655.562337 113203106.889576
234.500000 1744026524.844918 1281121407.340423 936423777.155658 676520671.880874 481577865.198156 336615288.932808 229591625.024659 150296646.453875 93046919.089808
235.500000 4038484814.152828 2711871922.054073 1828059197.333857 1233672331.004276 826724175.894576 550137024.877841 357469708.900539 222728558.797257 132342983.536906
236.500000 1900818986.928377 1389379685.251306 1012643029.908979 732378371.725556 522828341.277725 367265771.362044 251635765.038209 166145493.803868 102953308.187358
237.500000 1985600944.183625 1429523113.511843 1033303298.433539 746441792.519146 536465183.311182 381247869.522023 264884738.996352 178519146.257575 112089629.251506
238.500000 1754643111.669650 1349538390.038065 1032518540.626377 779327319.717746 579105642.988929 421384751.408944 299745466.237764 205748414.857851 132528744.316801
239.500000 2465163253.650155 1833339655.439633 1357748873.379120 997467920.382792 722698203.745879 514672826.576635 357669125.128834 239919222.872746 151373531.864258
240.500000 4183216858.284439 3082350885.734746 2250609366.962268 1622592460.014586 1148563667.999720 796947591.951937 538146822.739475 348267032.123989 213841119.818153
241.500000 2727097633.039857 2051803525.490665 1540929847.194806 1144428700.374609 839159103.646568 604372708.879726 425018685.506517 288548133.560977 184135750.020812
242.500000 4847329515.421625 3377215544.288249 2365235228.440633 1655592365.232970 1152456642.931704 793114103.854842 533675480.073465 343921133.470344 209821673.010756
243.500000 3687606259.736089 2697452544.422062 1978662121.873341 1443237727.734339 1044316035.800124 742881460.825820 516912524.921867 345668909.297355 217568730.423368
244.500000 6809840364.900959 4779845015.727840 3371855490.681349 2378171465.542481 1664310591.380689 1151216797.588050 777698212.927975 505461768.836838 311724497.863088
245.500000 6270434940.225756 4442621828.463346 3167092660.000108 2259519000.590306 1601622707.183990 1121641732.918551 767833052.674060 507138634.512618 316085135.895319
246.500000 2835726026.229990 2174679440.013051 1667395542.915954 1270523184.269320 956689174.785650 709624526.501182 511796972.221682 357410803.731126 231261057.982602
247.500000 1752928166.486180 1376592546.645609 1079833587.043448 842549353.156327 647559062.195237 491803337.761040 362767843.030959 257326595.613462 168603574.930509
248.500000 191753720.010834 168054020.814492 144141077.514595 123136915.053831 101789470.507415 81916793.468479 63112241.757849 43135618.428183 27153530.900701
249.500000 1793345530.565503 1411884753.269697 1107397497.435124 864476035.427754 663397565.579670 502019869.403499 369057450.295392 260796346.341941 170435274.033683
250.500000 3738271249.390876 2887818246.362219 2226937039.144733 1704549489.456291 1287255881.411747 958875887.221141 693792068.922807 485484233.541166 315196784.387489
251.500000 413994364.791486 369870626.450512 327756666.275028 287573622.832505 247962379.877808 209611190.996690 172683371.820804 134098854.607746 95769895.466755
252.500000 264618361.217527 242851344.858366 219008901.711384 195349706.425871 170384358.864428 145011248.664443 119784434.761014 91862258.643579 63633290.046135
253.500000 1414845051.286851 1257519089.813799 1115392533.258683 977021201.358917 843532875.969099 716043706.597277 591220012.445140 480169926.752443 351592115.092527
254.500000 1538353101.420581 1340469289.201352 1162973218.736465 998884599.003906 842132264.275236 699491946.028902 561409830.259049 438885225.387488 310032149.314534
255.500000 19108051099.993084 14594723277.151808 11056793478.116312 8255781265.461488 6047689661.350110 4330875595.075609 3003301478.713198 1971367311.927073 1230426848.833831
256.500000 18753443372.357132 14596536616.847692 11285271841.731602 8611291364.059553 6458400073.515728 4732018115.962663 3357795532.418145 2253386653.389793 1437117163.851581
257.500000 82810651855.345001 58748513139.857895 40709085310.618225 27500581647.569458 18050217481.803143 11436368507.317234 7014589484.460197 4004439961.888122 2234467411.219983
258.500000 271915236541.574585 194424637981.538269 134195822613.720367 89368800336.962769 57035326581.671768 34306111016.147541 19518177749.042202 9782292008.961157 4803547538.493313
259.500000 82875016789.480865 62873404663.074219 46759125502.378220 33928034523.625286 23849630355.097298 16155933016.685301 10406167752.482658 6109165827.986076 3444564769.490327
260.500000 144696184655.978088 106597122832.910797 76898419282.470612 54092435149.712158 36750765895.053185 23999026897.747849 14916155047.776628 8396371721.371174 4547880133.596867
261.500000 57988252833.475739 44121539120.875427 33065830177.856270 24295751248.344585 17376971846.845707 12046777224.664547 8013257399.887121 4927267638.576039 2897040020.215037
262.500000 122489889737.191269 91315944859.384781 66911986601.826378 47886247317.510094 33199892859.650429 22200537070.920326 14110961120.519627 8186862864.661035 4514627596.867439
263.500000 823351822786.261353 575919653156.380615 386208525846.281250 247657934482.922272 151361211650.760223 85954941664.296829 45721152530.875694 20804356325.320747 9412939519.582273
264.500000 502748279807.769287 342850351687.438843 224539278225.597260 141037862948.959442 84782919358.111465 48151121006.239937 26094829200.129578 12718034189.932413 6247918444.838343
265.500000 2358583404405.521973 1631080178207.053223 1070668768031.608643 663020699149.816162 387765363514.670715 205877462599.021149 99956292275.905991 39204051391.336197 15656846294.912476
266.500000 399353338319.264160 282146336830.181152 193284996450.805695 128010847329.885391 81642765900.981827 49474127979.681725 28670575871.719063 14941221383.347130 7671138184.161279
267.500000 771949450716.813477 540432785417.443542 364914515172.777527 236851413801.555450 147227478625.966064 86236834283.473236 47867351870.036346 23539441086.029034 11399813418.398745
268.500000 1590635717027.037598 1103419858747.988770 731945069578.017334 462488461143.186096 277432811193.345337 153569778386.250183 79134892129.871017 34439504049.948586 15011107523.711916
269.500000 492383782504.100586 344310945191.294739 232331188343.432678 151452595552.996063 94807526831.344650 56341805250.173477 32024464038.293022 16454947324.342501 8411707509.322897
270.500000 732977509156.205933 514540704409.643005 347706140822.639038 225940269679.773010 140687622722.466888 82501783359.203918 45893523052.827652 22679850061.674549 11152501787.408285
271.500000 125608151013.028519 88578855228.651566 61185347859.683273 41261908538.923920 27282372256.807816 17622644059.416538 11162277335.554218 6770489358.696959 4042031201.375901
272.500000 79926738277.686356 59372439726.922096 43369026446.138626 31051350992.432735 21823447300.694046 14963716387.300146 10021892804.724533 6439688419.001010 3992359945.163150
273.500000 63837970325.595421 48649520622.666763 36794079075.317368 27458580857.260052 20201390135.027153 14575791067.349539 10247938544.877792 6913771399.594629 4443845523.361739
274.500000 60880928491.952805 48058065327.567413 37560628785.359726 28947157454.269234 21912074614.266609 16194672795.587931 11610351021.406502 7925411536.336734 5149314061.315125
275.500000 172889716472.201721 126362577597.650208 90803307119.792953 64005631855.829697 44060397854.695953 29565537791.112263 19284221590.531506 11922652416.050434 7162570273.421345
276.500000 421931078907.055359 306546052735.615723 217874155474.673798 151128067721.860718 101515972884.804932 65738184081.740761 40923333413.477104 23520191291.274200 13156322622.867420
277.500000 205767572217.274017 155713782129.516296 116470193230.787094 85806144627.800201 61804192259.302567 43533947234.680641 29590440255.863415 19049608203.122002 11745173787.899546
278.500000 101149977537.543533 82985333446.676071 67452160069.304314 54009609286.916962 42399883306.348526 32497214690.199497 24074503342.203587 16920574492.946924 11288428584.543009
279.500000 28966882558.768730 25011251949.822773 21512705899.963058 18242335981.259411 15231765318.732531 12475592043.915022 9989174282.263651 7740588792.126104 5659558281.073238
280.500000 63621068048.049812 53247157959.775436 44224162992.907150 36125803117.675018 29038544481.097347 22795610544.829094 17392707936.652832 12638605473.428007 8771823618.146950
281.500000 468916274791.429626 355864552150.336853 265116985037.607330 193138515342.434753 136527358684.894897 93108399663.795380 60462380764.202316 35776777993.167381 20183025577.426182
282.500000 33701546199.798687 28573002338.936512 24288014543.401138 20481926965.257164 17114915438.266064 14181661840.854118 11359768336.158918 9097292596.664341 6555665466.270883
283.500000 15741961893.201197 14109407581.668961 12659101313.181776 11301206138.672377 9918855558.172068 8655936808.004658 7293788201.805351 6083239081.114058 4510576402.656858
284.500000 5581897584.258129 5150456746.388697 4714316568.323888 4259754726.156992 3794339378.648305 3286408012.338924 2736016822.105573 2144106168.642532 1494305298.175820
285.500000 1857009374.756277 1708913008.473718 1529209285.854758 1346811337.087110 1179660298.619759 982177160.404902 792608167.016758 568166106.797629 379687088.296665
286.500000 12878612493.723745 11794548348.136335 10777953808.750212 9803355718.071650 8760030346.214567 7746302843.536725 6638718255.142206 5538535661.538159 4093781157.311455
287.500000 31497011868.755856 27616705681.035118 24176316108.700367 21121013571.106632 18166317788.661156 15549601859.641157 12858487249.968948 10622924361.043976 7891746377.769873
288.500000 59228804843.242599 49065251778.225006 40821174214.251785 33814796936.120689 27780132868.605202 22628903703.046402 17918214375.018341 14047273956.511864 10060227646.123272
289.500000 2251124729916.663574 1580833577108.275879 1074138186512.270752 704689919204.709473 444487796954.672607 267343544125.031891 153861684534.646423 80011349577.092148 41231984955.201645
290.500000 5688597122986.877930 4011183263434.000977 2718058993568.762207 1762918031498.307861 1089602222125.349487 628431261347.457397 341098108454.478882 160615252683.212982 75249763460.602890
291.500000 3918834347120.992676 2772763681123.431641 1891948263847.842773 1240209197651.066895 777721595957.898926 458612595720.228333 256244401970.412262 125997840815.028458 61918019907.235031
292.500000 3683943516341.316406 2654512041372.103027 1844068318221.415771 1232780465153.655762 790057770832.536987 476193055940.124756 271772817163.608276 136135600586.479507 68077691950.943382
293.500000 3168083158236.569336 2246210448468.663086 1536429938675.924805 1009650115963.982422 636546746202.640747 377999825391.583862 213765272500.003052 108411186580.118774 55600517231.679871
294.500000 944692024866.624023 672670295123.777588 467739000661.042603 317685366308.585938 210624838680.935516 135847923588.452438 85513413661.321625 51172095488.212715 30286766410.861134
295.500000 2510929926470.583008 1766841927567.406250 1201267337457.108154 788679371038.504639 498508666221.595154 299998955255.970032 174009354070.135864 92840457183.017441 50043896196.241219
296.500000 1097160884998.230347 786177950539.760620 546246585967.106995 368081530393.016418 240160064601.002777 150636452005.630096 91574505283.280457 52210780176.853767 29818027525.101192
297.500000 2274775873599.621582 1632672816472.518311 1133571340225.084961 760541302749.683960 491501366559.999634 301518320826.128235 177229480615.349915 94951730063.940567 51133048168.250984
298.500000 813471942134.388794 588744490764.165283 415592054350.925415 286272303253.143799 192503681327.976135 125415121543.983261 79855495233.049576 48387799267.005798 29125028266.516830
299.500000 886753785687.549927 630613832794.247192 440756402249.807007 302952838559.436707 205092014546.892365 136415580391.064224 89362727814.976318 56290863087.843048 34965948756.909622
