#emulator
wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
180.500000 23007.624137 16628.418784 12700.296941 9600.846375 6947.302041 4817.926370 3019.517951 1714.417407 613.578014
181.500000 31214.115633 22640.256508 17365.426902 13098.695601 9559.790933 6678.399158 4228.242998 2418.149873 882.207167
182.500000 28670.095276 20929.133696 16107.641600 12210.521513 8954.757413 6274.085740 3958.642062 2282.232027 835.987567
183.500000 40743.036284 29871.662507 23137.550620 17822.627768 13175.135884 9390.314799 6034.704417 3538.561600 1320.120665
184.500000 26524.302355 19822.209365 15482.778470 11914.416348 8791.516757 6286.392476 3989.293765 2365.045033 886.579694
185.500000 41551.557238 30628.330342 23832.689785 18369.228627 13620.195783 9687.498637 6203.266326 3655.409834 1369.969646
186.500000 43271.010912 31504.231878 24481.816740 18597.580341 13610.134241 9517.989668 5992.808191 3431.087702 1262.785819
187.500000 31179.634543 22698.231956 17360.826220 12942.570383 9377.070141 6409.141571 3969.947579 2214.878250 800.911876
188.500000 59279.188710 43571.385956 34052.853428 26053.521430 19257.996493 13580.222069 8660.525509 5014.782791 1867.465716
189.500000 117988.106736 87412.193543 68366.497673 53276.547108 39658.089351 28662.022200 18735.630091 11177.143868 4285.406505
190.500000 111127.275353 82383.313880 64686.600142 49833.814037 37020.600827 26393.813294 16986.927382 10100.594474 3803.360972
191.500000 125661.976170 92979.419712 72531.263097 55937.345434 41185.358476 28977.343293 18514.064327 10799.991368 4026.965652
192.500000 73057.147721 52707.901916 39926.580643 29691.233919 20952.585486 14085.996698 8562.103329 4789.462520 1686.543878
193.500000 701.733065 458.684756 322.067953 237.332918 163.746432 118.012218 75.064455 47.270735 29.469307
194.500000 101969.751064 73651.021684 56075.723986 41801.976026 29572.004161 20037.996409 12251.953314 6858.851309 2415.959183
195.500000 258129.887038 193311.187441 151868.470153 117187.883130 87168.254427 61826.058880 40058.388323 23506.279020 8889.882660
196.500000 357355.359115 266782.201899 210695.716678 164038.586728 122380.461089 88349.578437 57836.123871 34547.321101 13231.280202
197.500000 490923.555859 369991.779377 294079.417882 231415.727950 174352.329480 127741.492504 85012.480109 51421.784242 20230.474626
198.500000 501689.148514 380639.515743 303735.575308 238323.101503 179727.865571 131741.165467 87104.118066 52699.173252 20917.316290
199.500000 533409.975544 401919.934184 319727.485857 251857.037212 189606.625418 138632.336067 92150.386284 56142.994074 22295.283844
200.500000 610825.372850 462608.438743 370167.466552 290903.171710 220479.126304 161551.939399 107338.010025 65689.911773 26187.482079
201.500000 793004.661873 601490.587237 479522.011219 378013.605148 285972.448363 210247.927435 140624.224454 85538.514304 34214.968389
202.500000 509246.665713 388638.814717 310738.748720 244129.187863 184238.672424 134149.662934 88541.201725 53899.041653 21569.650827
203.500000 930614.752310 708002.417928 568274.539557 450829.806195 342268.916186 252312.515945 169258.317687 104541.068921 41868.055899
204.500000 1235764.830666 939817.168407 755892.965382 600796.097702 456727.086395 338345.449140 228928.687553 141075.917111 56546.649296
205.500000 1443457.729661 1104795.896347 889606.077892 706648.776071 540655.558093 402036.457270 271327.225662 167575.204888 68003.496409
206.500000 1565815.815570 1203298.653642 973664.049839 773673.269531 592887.383531 441738.167517 297816.976245 184620.742266 75631.492493
207.500000 684167.105723 507376.045903 400822.714153 313103.390740 234169.451486 170501.795912 114953.869351 72836.418278 32211.275654
208.500000 6069817.973767 5063139.356160 4335520.686117 3677705.386683 3065969.137158 2503856.575347 1940116.046208 1467202.428357 893953.844191
209.500000 25383598.644986 19826391.801174 15884520.073739 12752128.989190 10032775.614120 7692710.081130 5616719.282027 3973079.257208 2319361.139960
210.500000 69985340.594977 49505710.526621 36273810.998420 26925679.783464 19678294.959015 14137032.415576 9719011.129127 6453004.596525 3595483.803969
211.500000 473604422.674446 284072346.655978 175888519.769442 110310470.945105 69871805.519971 44077660.531874 27131320.679582 16287882.284371 8561600.452196
212.500000 141840332.469390 96452256.898530 67366863.935805 47431417.445694 33095923.929139 22733052.634972 14919974.521598 9429697.768182 5015722.841559
213.500000 484163432.401194 300461423.017582 191346945.608393 123085868.332453 79652270.959521 51150562.968211 31985492.833511 19557215.857452 10387265.101491
214.500000 824049805.011806 491350597.673721 301539438.343963 187569640.297156 117462102.464554 73313672.743256 44555460.112259 26405922.278046 13737569.280581
215.500000 444750405.783481 280428366.219411 182469067.552451 120333611.162549 79652426.951568 52087380.504354 33105583.285945 20416148.021856 10948196.072603
216.500000 286496524.537356 192567058.827188 134148480.159967 94223521.482985 66092857.158129 45615397.406003 30369407.893887 19555262.439925 10742226.851292
217.500000 234897797.974745 163648533.610753 117567510.562369 85035666.306781 61139394.337742 43235037.394694 29467522.819768 19471939.548516 10999899.207407
218.500000 1303548077.444436 790432364.393447 490154348.930541 308155789.932276 194352875.438562 121556656.544993 74025793.642136 43550282.285145 22646074.337832
219.500000 798602246.965624 514419938.843864 342474730.316898 231001363.733859 156442726.733176 104480587.024903 67653769.456793 42446522.289530 23170117.090318
220.500000 997373165.681908 631774083.202885 412012129.228465 271480439.811565 179808292.083611 118259586.351095 75835547.189257 47402554.154106 25914859.790213
221.500000 559680154.895892 382639532.065080 267855974.807420 188144982.105936 131475199.609295 90222886.910230 59779173.201705 38162770.658882 20886344.308623
222.500000 3170462922.811954 1945612955.364357 1200556539.490534 738627213.024990 455652397.289846 277448247.314943 164406414.951872 94239492.576944 48705352.440583
223.500000 3758054118.576778 2284418587.727741 1405058939.237670 869549624.756118 538437083.791714 330208573.484937 197276699.245035 113782799.096724 59406492.121597
224.500000 3011562356.995455 1913779380.865197 1233888441.513557 798116061.015675 516166687.318836 328685648.641692 202894138.748427 120644422.721108 64520413.086346
225.500000 1197048225.065951 829582015.443636 585444485.731183 413016369.865107 289870891.486637 199770221.104077 132869647.632887 85549507.865508 48074162.330844
226.500000 715209502.998043 518539940.900165 383526741.644149 285233005.470645 208779057.612801 150072033.501583 103759642.325709 69541450.991758 39648738.943177
227.500000 445542320.894008 337650910.685487 260538494.898269 201639126.762555 153624269.308338 114689398.789735 82222148.713260 57246162.138526 33760468.078800
228.500000 2036467709.081172 1341450276.130167 904606968.050347 616485948.239813 421372660.538822 283330519.869168 185388520.372426 117371645.671867 65055772.493057
229.500000 844349099.151151 618856697.391811 463874924.304680 346455705.863716 256548496.462151 186216198.863475 129908778.501671 87736056.724414 50872195.835278
230.500000 3165556896.686211 2080004380.160006 1393954086.635469 941098926.244798 635389514.175018 422966169.367119 273235608.795833 170756784.581866 94308093.758473
