#emulator
wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
180.500000 26388.191377 21801.048312 17976.160593 13240.227953 9461.893018 6082.989458 3385.238981 1798.425485 567.852148
181.500000 35593.842012 29522.830657 24573.892623 18067.479841 13088.471182 8481.531223 4772.218678 2548.952639 818.058296
182.500000 32694.378287 27320.905211 22710.266030 16805.161183 12231.875700 7912.520495 4427.498723 2392.775556 770.359288
183.500000 46203.052733 38828.465776 32245.106450 24425.931407 18045.848250 12107.153033 6862.050074 3736.059373 1228.836230
184.500000 30965.395944 26503.049716 21948.793573 16304.005547 12030.055440 7969.687152 4424.727820 2461.365210 811.278947
185.500000 47430.627171 39679.048218 33143.685544 25087.505067 18596.445801 12328.704463 6967.735070 3834.134526 1264.047519
186.500000 49678.742661 41441.945291 35555.518826 26656.613188 19471.482281 12462.553156 6758.954671 3593.663646 1144.642194
187.500000 37127.252705 32272.583745 27092.752453 19806.330269 14380.433518 8655.309017 4443.882094 2280.803294 703.932732
188.500000 67534.899357 56950.154664 48509.053267 36812.513767 27126.427401 17667.228657 9757.691917 5252.415987 1700.882883
189.500000 131586.057262 109986.608143 91874.999807 71507.546278 52929.079643 36317.022878 21218.047281 11815.551231 4015.683390
190.500000 122769.385947 101001.458828 85129.257841 64719.405540 47476.319592 31977.577564 18717.084165 10582.648042 3562.219766
191.500000 136820.780344 112240.927367 92662.681346 70702.375400 51106.699570 33965.948346 19981.984357 11200.194799 3747.829297
192.500000 75356.901884 59774.623917 46387.567738 34407.923930 23369.269412 15071.814687 8571.844707 4697.305081 1489.176267
193.500000 495.701118 343.101243 239.451038 171.947673 115.393227 82.725487 47.685023 31.751724 18.355085
194.500000 104476.645611 82305.668092 64634.994409 48101.914383 32826.058704 21382.094827 12313.817997 6756.689123 2153.357151
195.500000 279570.820721 230429.594774 192419.963790 146748.466386 107532.529170 72124.406505 43417.651996 24508.454125 8379.746120
196.500000 387239.890886 317082.155010 266856.797171 207838.737104 153171.711667 105627.988055 63771.813837 36368.109669 12586.111887
197.500000 540152.488201 450067.461076 380571.204761 300976.091539 226239.912905 158799.843492 95861.287978 54590.704834 19253.363740
198.500000 555573.995826 464353.092303 395464.043367 308794.705298 232243.544889 162557.047138 97658.509508 55773.098746 19897.991545
199.500000 583926.789086 485048.613019 412587.445458 325958.673405 244071.345212 170525.966981 103146.085033 59422.998200 21205.488950
200.500000 669526.008457 560822.119860 477501.564321 374722.240188 282911.467815 198696.745255 119918.073445 69493.775820 24852.274218
201.500000 867560.734743 728172.890349 615809.636874 486256.653971 365800.207109 258704.243776 157166.503533 90570.476527 32491.387055
202.500000 555079.168739 464576.416717 391241.097145 305455.971254 227806.583625 159077.738546 96428.109842 56297.801806 20318.523963
203.500000 1014373.331346 847933.085485 721586.143391 575619.812547 434051.571517 308230.629175 188412.333401 110505.838976 39858.841298
204.500000 1343909.732542 1120415.564033 955476.247333 764930.508208 578218.691384 413950.202161 255654.762752 149495.128894 54067.614800
205.500000 1582397.773190 1326498.237958 1132419.438820 900602.474106 687762.531307 493505.873553 303660.386867 177655.654486 64854.919602
206.500000 1726593.505005 1451736.610780 1244507.105352 988135.861440 754836.781270 542677.392486 332872.628162 195457.754933 71930.537302
207.500000 684958.846481 542701.704416 435636.304183 344909.643819 251838.229594 179655.007131 116112.159393 72923.636861 30110.371601
208.500000 6395137.378210 5547640.233327 4827821.895416 4107188.490551 3400962.861259 2740947.654322 2106930.430387 1569375.450795 931901.399715
