#emulator
wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
180.500000 6865.369745 5665.965455 4817.420647 3761.252791 2990.655230 2175.704715 1486.567809 828.610919 385.518629
181.500000 9086.600490 7478.942917 6427.474653 5030.474616 4020.729370 2944.504940 2033.176084 1149.206115 533.978700
182.500000 8641.218542 7171.728199 6141.738280 4838.333807 3875.494915 2840.229412 1965.977324 1113.838569 524.226010
183.500000 12100.456698 10074.000549 8677.300441 6909.474697 5575.253484 4123.687147 2890.356017 1707.192533 813.468623
184.500000 8839.249471 7362.340976 6324.215808 5043.139555 4047.422116 2992.726121 2104.086676 1214.393556 605.051126
185.500000 12948.995437 10783.214559 9297.069598 7408.817317 5970.021693 4414.052302 3112.907684 1816.228805 880.895315
186.500000 12861.863718 10792.359939 9227.569190 7292.679420 5881.829941 4320.110200 3015.861904 1724.657819 823.341176
187.500000 9401.838717 7871.548405 6660.970798 5288.731289 4202.453198 3040.857020 2109.100579 1166.669564 565.793622
188.500000 18147.877641 15229.929275 13021.842664 10401.484827 8410.533002 6197.375890 4367.301739 2536.007359 1225.132249
189.500000 36109.704074 30211.419106 26209.799524 20970.954957 17094.988511 12733.605613 9048.030598 5417.242691 2627.509974
190.500000 35839.968797 29760.283655 25680.364850 20471.736506 16570.196073 12322.799897 8666.467285 5044.237531 2448.461258
191.500000 41524.872936 34552.242881 29655.282214 23509.782364 19028.550001 13984.693000 9690.745529 5461.081364 2634.188889
192.500000 26936.872135 22422.429704 18689.967933 14551.621677 11562.074170 8070.187550 5373.552710 2699.168856 1310.331860
193.500000 866.413685 754.868935 605.844878 500.218507 390.163175 282.143998 212.668581 99.471632 71.044260
194.500000 37569.974483 31279.346070 26197.605316 20371.046019 16253.374121 11405.341113 7600.357540 3851.680376 1862.654762
195.500000 86156.192690 71796.174070 61903.728843 49305.642323 40007.028705 29719.880283 20744.638452 11886.547232 5700.417082
196.500000 116253.650668 97226.270483 84036.271569 67212.758566 54945.646102 41014.223611 28946.663754 17118.203826 8261.899188
197.500000 157352.042402 132017.670253 114422.597400 92275.368109 75711.690016 56974.508708 40778.787684 24941.580444 12230.318867
198.500000 165728.660226 139306.578095 120821.139364 97094.796477 79846.912379 59902.288225 42755.976628 26095.702620 12828.432395
199.500000 175615.198401 147163.201027 127994.577271 102778.759680 84173.392026 63510.475211 45441.041393 27891.890556 13814.447492
200.500000 205053.666241 172110.830159 149299.634431 120158.625854 98805.586995 74382.695946 53278.344149 32789.350544 16400.447553
201.500000 265838.804839 223088.571171 193756.064453 155969.520475 128460.524653 96551.020115 69206.786472 42415.196801 21258.140282
202.500000 189958.602555 159542.730722 136741.805678 110514.619408 89956.873372 67656.647450 48272.227051 28973.417808 14976.133557
203.500000 317930.167093 268023.869174 233144.799521 188557.484178 155700.213122 117791.067898 84697.737832 52694.347163 26634.968142
204.500000 418387.662349 352639.080771 307099.564711 248825.973936 205904.851933 156149.194434 112739.077325 70219.518797 35456.733657
205.500000 491362.040240 413919.841527 360476.340014 292861.929551 241676.656664 183905.357225 132835.747779 83268.163326 42179.220931
206.500000 542221.977046 457194.255413 398678.480136 323885.476886 267756.910114 203619.769250 147231.875416 92617.180868 47343.283307
207.500000 285193.810730 242432.673696 207803.346167 168181.415955 138636.525447 101619.654528 73608.923078 43873.039540 23818.664570
208.500000 2728261.750984 2448974.211691 2220920.875459 1943173.539855 1703994.694814 1439574.324954 1179453.508867 927954.297838 605687.964116
209.500000 10846893.345154 9030229.020038 7536013.412756 6186552.269919 5003835.541909 4004893.913716 3051387.607080 2278575.099669 1471951.588990
210.500000 33066183.852317 24427752.174561 18186761.897162 13589493.473773 10082047.125391 7393615.900399 5233626.236461 3609113.275050 2206763.467733
