#emulator
wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
180.500000 35748.392154 23052.056356 16985.591017 12302.659237 8689.510901 5810.778951 3290.867181 1748.233394 488.113713
181.500000 48658.984252 31429.756210 23289.166095 16810.655943 12016.892326 8099.343947 4635.568802 2485.286682 700.610714
182.500000 43717.915292 28942.616861 21546.145502 15683.116939 11259.641108 7597.899475 4332.100066 2340.551798 663.118601
183.500000 61640.480905 40819.044823 30580.674621 22717.505793 16503.034252 11429.979405 6635.974668 3659.219915 1050.414079
184.500000 38793.499767 27057.825242 20426.525300 15146.946282 10939.938150 7575.455684 4338.883727 2406.697851 702.109517
185.500000 61893.779264 41519.199114 31389.104570 23366.938259 17002.737192 11724.996441 6785.695578 3757.071682 1088.334653
186.500000 66885.790173 44217.461162 33203.479790 24283.721281 17409.048395 11749.677969 6651.521523 3533.882014 986.273550
187.500000 49959.396357 33838.298004 24311.557316 17372.895569 12337.022233 8074.154653 4453.317526 2257.012860 615.713001
188.500000 89365.570910 60171.517248 45511.428120 33674.882956 24403.692580 16660.536656 9589.094494 5156.283026 1464.589088
189.500000 171800.787710 115926.398986 88428.436179 66931.938668 48965.707524 34444.052909 20445.860909 11538.173989 3430.628722
190.500000 156930.951263 107102.857915 82495.388655 61602.101554 44770.566561 31014.747011 18192.357728 10231.762042 3077.587241
191.500000 171953.469509 119383.282164 91040.069947 68311.073260 49105.441260 33479.662044 19585.522488 10788.398585 3276.913737
192.500000 94181.570840 65381.862680 47999.974020 34797.674882 23743.666285 15497.750457 8636.013151 4566.826380 1396.513143
193.500000 733.929668 477.118047 340.253628 252.066315 172.164497 128.495242 71.684991 45.632859 25.488481
194.500000 130518.577860 90507.193256 66859.585068 48680.260132 33301.943521 21935.339663 12341.491758 6547.701405 2013.635991
195.500000 348748.896790 245097.687536 188825.243940 141550.806823 103138.177715 70943.862437 42386.900731 23505.347354 7286.307504
196.500000 487300.382332 336967.539444 261191.331152 198480.728146 145273.166426 102329.706575 61599.030875 34911.038628 10831.891137
197.500000 673816.954173 471869.496868 368196.994608 283072.068662 210420.707539 150527.346163 91936.005361 52774.807278 16384.919126
198.500000 680609.279581 484061.418184 379884.873120 290215.497434 215762.163112 154391.207781 93779.791124 53763.687710 16963.146735
199.500000 734288.762241 510602.845144 399194.867626 306925.204583 227524.729524 162391.954617 99072.762504 57387.489046 18129.271969
200.500000 830407.133783 585925.601212 460343.162871 352901.869143 263653.575091 188817.915934 115230.863624 66987.096736 21246.972545
201.500000 1074856.965329 759860.737111 594436.298647 457897.428804 341054.204189 245315.016157 150650.802503 87142.829381 27717.828797
202.500000 660581.910757 480386.681441 377418.721331 289742.080942 214426.926027 153002.748367 93170.050114 53816.277336 17645.234676
203.500000 1249343.422029 886193.752070 699289.362989 543092.371273 405985.325557 293091.394734 180924.555388 106428.858371 34110.642021
204.500000 1647604.499763 1169796.610856 925986.636931 721572.387761 540560.585638 392629.713170 244821.743007 143689.882854 46143.290381
205.500000 1922364.518497 1379755.983626 1094726.692506 849994.959591 642557.828515 467891.267746 291152.012220 171224.693394 55287.502753
206.500000 2067368.451840 1500805.976273 1198899.144311 930882.036751 704297.648278 513699.105181 319291.698736 188504.815192 61373.101810
207.500000 814471.553946 584229.208898 452786.099816 348730.191769 253621.328543 181389.290328 114664.117765 70196.506336 27579.854719
208.500000 6750183.443389 5486162.223530 4656552.600892 3927111.511273 3237909.509572 2610983.211726 1961039.938289 1458317.193625 834051.008798
209.500000 26743595.733386 20486630.435673 16351634.676543 13108666.702987 10292640.795891 7871141.450399 5655247.427251 3953194.615608 2195446.413379
210.500000 71734752.646997 49640562.594746 36279396.386727 26922524.554504 19738888.672004 14217521.031166 9709348.825356 6391612.688156 3430307.277565
211.500000 472927661.044556 277530495.366507 170961982.148080 106879172.510443 68067470.270525 43196435.311354 26688595.255022 15993211.040466 8178441.724799
212.500000 143679557.650591 96107239.041006 67015541.231406 47161396.002918 33000492.192721 22744213.362967 14843655.374311 9307943.656514 4754287.096379
213.500000 484026948.524461 294854469.904365 187152491.581125 120118884.687475 78110450.052077 50441497.658619 31565190.829561 19278654.798309 9874046.002587
214.500000 820058517.123393 478933803.891654 292255754.791022 181105228.203398 113930255.970371 71548586.368696 43683359.400287 25852187.504464 13119776.655723
