#emulator
wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
180.500000 24168.944650 17623.556633 13773.525507 10386.120248 7549.759877 5166.794714 3104.011491 1708.347874 545.557111
181.500000 32839.565116 23991.609388 18831.329410 14172.369248 10401.952254 7175.740578 4362.994473 2422.696935 786.045907
182.500000 30140.540115 22203.707429 17510.322328 13226.397264 9752.873048 6739.811342 4071.012108 2276.276459 741.076415
183.500000 42949.274703 31690.327731 25037.531243 19251.558832 14308.341233 10077.643596 6221.457124 3549.887012 1180.601347
184.500000 28070.725272 21168.164023 16869.442320 12906.291271 9559.129265 6732.176781 4076.175385 2339.835245 782.843037
185.500000 43851.472703 32518.375962 25827.367723 19857.234622 14796.996810 10385.414510 6371.563749 3647.170723 1218.444224
186.500000 45730.771034 33517.122704 26712.199294 20253.037670 14919.767371 10282.970140 6180.816445 3414.944533 1109.534642
187.500000 33039.309409 24383.550786 19158.377164 14229.768402 10400.514339 6958.916164 4081.644311 2175.956749 689.987485
188.500000 62606.763345 46359.800351 37062.585755 28302.917244 21048.293715 14635.078378 8921.465142 4989.521212 1645.820834
189.500000 124051.527684 92346.506586 73561.868725 57299.375261 42836.953363 30622.633257 19256.883144 11203.432886 3846.262978
190.500000 115956.334189 86522.261556 69411.963787 53359.131303 39786.740893 28067.249009 17366.379473 10049.064797 3409.273364
191.500000 130246.258547 97370.972452 77601.501928 59770.339255 44137.919347 30706.196769 18827.659508 10654.960335 3591.557919
192.500000 74156.109862 54549.385391 42326.634125 31451.405852 22159.155266 14674.188092 8457.604511 4566.063021 1471.231585
193.500000 699.786691 470.941213 333.815091 242.828065 166.787924 120.059889 67.823035 43.151422 25.046174
194.500000 103267.377895 75893.407377 59277.129397 44216.035257 31257.864993 20885.453186 12144.703876 6567.105960 2121.177025
195.500000 267632.693523 202153.098841 162159.730301 124997.955481 93277.386572 65494.886142 40923.965512 23289.889095 8000.118814
196.500000 371699.892750 278914.301574 224233.100000 174732.472854 130840.107233 93677.504614 59292.260666 34470.451258 11989.515288
197.500000 515633.348511 389452.748592 314177.903067 247412.625391 187198.002202 135951.254805 87470.577899 51615.612214 18337.171347
198.500000 527032.119542 400862.954948 324793.802945 254771.739309 192821.319334 140030.527816 89450.838264 52731.414467 18941.843191
199.500000 558818.071972 422100.487116 341077.615052 268795.474327 203074.485328 147169.678758 94587.835124 56249.497823 20207.311952
200.500000 640435.523213 486494.677035 394954.870045 310192.583148 236008.138032 171435.739954 110038.674008 65678.862754 23671.593716
201.500000 830906.751622 632256.862317 511101.911384 402569.148342 305588.349800 222874.790486 143889.860106 85422.548826 30878.802562
202.500000 530305.463934 407172.368176 330433.998466 259051.208803 195842.580267 141283.798153 89934.991667 53214.443498 19405.471578
203.500000 974115.020874 742961.118267 605028.114529 479964.452806 365371.569254 267101.226004 173128.078396 104345.334253 37932.014054
204.500000 1293695.006216 985888.582612 803677.369028 639117.373107 487137.765556 358138.395488 234392.368443 140995.508180 51358.052540
205.500000 1516118.210863 1161635.084585 948280.258968 752609.035941 577704.456751 426206.666845 277930.190541 167609.048855 61595.997817
